Character,Meaning,On Reading,Kun Reading,JLPT Level
本,"['book', 'present', 'main', 'origin', 'true', 'real', 'counter for long cylindrical things']",['ホン'],['もと'],4
書,['write'],['ショ'],"['か.く', '-が.き', '-がき']",4
学,"['study', 'learning', 'science']",['ガク'],['まな.ぶ'],4
生,"['life', 'genuine', 'birth']","['セイ', 'ショウ']","['い.きる', 'い.かす', 'い.ける', 'う.まれる', 'うま.れる', 'う.まれ', 'うまれ', 'う.む', 'お.う', 'は.える', 'は.やす', 'き', 'なま', 'なま-', 'な.る', 'な.す', 'む.す', '-う']",4
読,['read'],"['ドク', 'トク', 'トウ']","['よ.む', '-よ.み']",4
思,['think'],['シ'],"['おも.う', 'おもえら.く', 'おぼ.す']",3
知,"['know', 'wisdom']",['チ'],"['し.る', 'し.らせる']",3
一,"['one', 'one radical (no.1)']","['イチ', 'イツ']","['ひと-', 'ひと.つ']",4
好,"['fond', 'pleasing', 'like something']",['コウ'],"['この.む', 'す.く', 'よ.い', 'い.い']",3
識,"['discriminating', 'know', 'write']",['シキ'],"['し.る', 'しる.す']",2
見,"['see', 'hopes', 'chances', 'idea', 'opinion', 'look at', 'visible']",['ケン'],"['み.る', 'み.える', 'み.せる']",4
時,"['time', 'hour']",['ジ'],"['とき', '-どき']",4
間,"['interval', 'space']","['カン', 'ケン']","['あいだ', 'ま', 'あい']",4
事,"['matter', 'thing', 'fact', 'business', 'reason', 'possibly']","['ジ', 'ズ']","['こと', 'つか.う', 'つか.える']",3
死,"['death', 'die']",['シ'],"['し.ぬ', 'し.に-']",3
大,"['large', 'big']","['ダイ', 'タイ']","['おお-', 'おお.きい', '-おお.いに']",4
通,"['traffic', 'pass through', 'avenue', 'commute', 'counter for letters, notes, documents, etc.']","['ツウ', 'ツ']","['とお.る', 'とお.り', '-とお.り', '-どお.り', 'とお.す', 'とお.し', '-どお.し', 'かよ.う']",3
心,"['heart', 'mind', 'spirit', 'heart radical (no. 61)']",['シン'],"['こころ', '-ごころ']",3
様,"['Esq.', 'way', 'manner', 'situation', 'polite suffix']","['ヨウ', 'ショウ']","['さま', 'さん']",2
図,"['map', 'drawing', 'plan', 'extraordinary', 'audacious']","['ズ', 'ト']","['え', 'はか.る']",3
館,"['building', 'mansion', 'large building', 'palace']",['カン'],"['やかた', 'たて']",3
物,"['thing', 'object', 'matter']","['ブツ', 'モツ']","['もの', 'もの-']",3
言,"['say', 'word']","['ゲン', 'ゴン']","['い.う', 'こと']",4
人,['person'],"['ジン', 'ニン']","['ひと', '-り', '-と']",4
匂,"['fragrant', 'stink', 'glow', 'insinuate', '(kokuji)']",[],"['にお.う', 'にお.い', 'にお.わせる']",
囲,"['surround', 'besiege', 'store', 'paling', 'enclosure', 'encircle', 'preserve', 'keep']",['イ'],"['かこ.む', 'かこ.う', 'かこ.い']",2
気,"['spirit', 'mind', 'air', 'atmosphere', 'mood']","['キ', 'ケ']",['いき'],4
分,"['part', 'minute of time', 'segment', 'share', 'degree', ""one's lot"", 'duty', 'understand', 'know', 'rate', '1%', 'chances', 'shaku/100']","['ブン', 'フン', 'ブ']","['わ.ける', 'わ.け', 'わ.かれる', 'わ.かる', 'わ.かつ']",4
集,"['gather', 'meet', 'congregate', 'swarm', 'flock']",['シュウ'],"['あつ.まる', 'あつ.める', 'つど.う']",3
古,['old'],['コ'],"['ふる.い', 'ふる-', '-ふる.す']",4
語,"['word', 'speech', 'language']",['ゴ'],"['かた.る', 'かた.らう']",4
歴,"['curriculum', 'continuation', 'passage of time']","['レキ', 'レッキ']",[],2
史,"['history', 'chronicle']",['シ'],[],2
理,"['logic', 'arrangement', 'reason', 'justice', 'truth']",['リ'],['ことわり'],3
地,"['ground', 'earth']","['チ', 'ジ']",[],3
込,"['crowded', 'mixture', 'in bulk', 'included', '(kokuji)']",[],"['-こ.む', 'こ.む', 'こ.み', '-こ.み', 'こ.める']",2
文,"['sentence', 'literature', 'style', 'art', 'decoration', 'figures', 'plan', 'literary radical (no. 67)']","['ブン', 'モン']","['ふみ', 'あや']",3
素,"['elementary', 'principle', 'naked', 'uncovered']","['ソ', 'ス']",['もと'],1
紙,['paper'],['シ'],['かみ'],3
誌,"['document', 'records']",['シ'],[],2
