Character,Count
"
",279
本,26
書,10
学,9
生,9
読,8
思,7
知,6
一,6
好,5
識,5
見,5
時,5
間,5
事,5
死,5
大,4
通,4
心,4
様,4
図,4
館,4
物,4
言,4
人,4
匂,4
囲,4
気,3
分,3
集,3
古,3
語,3
歴,3
史,3
理,3
地,3
込,3
文,3
素,3
紙,3
誌,3
日,3
作,3
埋,3
神,3
司,3
仕,3
度,2
愛,2
字,2
誰,2
触,2
想,2
冊,2
世,2
界,2
写,2
真,2
酔,2
国,2
違,2
代,2
風,2
忘,2
教,2
育,2
化,2
積,2
内,2
容,2
多,2
小,2
難,2
薄,2
庫,2
吸,2
絶,2
新,2
何,2
過,2
不,2
足,2
上,2
方,2
幸,2
望,2
就,2
職,2
願,2
転,2
的,2
行,2
須,1
麗,1
乃,1
歳,1
三,1
飯,1
活,1
妄,1
筆,1
者,1
踊,1
顔,1
得,1
自,1
目,1
屋,1
並,1
広,1
陶,1
外,1
習,1
垣,1
趣,1
深,1
野,1
紐,1
解,1
宗,1
民,1
俗,1
数,1
芸,1
術,1
体,1
類,1
詰,1
底,1
厚,1
連,1
百,1
科,1
典,1
欠,1
揃,1
全,1
簡,1
表,1
高,1
専,1
門,1
用,1
雑,1
回,1
説,1
売,1
子,1
供,1
向,1
絵,1
誇,1
漫,1
画,1
同,1
開,1
美,1
酒,1
独,1
特,1
少,1
黴,1
臭,1
埃,1
年,1
経,1
頂,1
迎,1
身,1
悶,1
考,1
楽,1
傷,1
光,1
当,1
良,1
限,1
費,1
肌,1
青,1
白,1
味,1
悪,1
運,1
動,1
健,1
康,1
食,1
叱,1
手,1
放,1
畳,1
往,1
正,1
確,1
実,1
震,1
希,1
直,1
資,1
格,1
取,1
決,1
次,1
中,1
他,1
圧,1
倒,1
長,1
持,1
伝,1
達,1
残,1
業,1
昔,1
振,1
返,1
対,1
変,1
